chr1	x1	x2	chr2	y1	y2	color	f1	f2	f3	f4	f5
1	204520000	204920000	1	204520000	204920000	255,255,0	1.4276	0.065193	0.064079	0.9325	0.7225
1	86170000	86830000	1	86170000	86830000	255,255,0	1.3578	0.071298	0.057881	0.76951	0.88154
1	43230000	43600000	1	43230000	43600000	255,255,0	1.3	0.053826	0.075238	0.88012	0.75146
1	46850000	47040000	1	46850000	47040000	255,255,0	1.1169	0.080731	0.047819	0.76667	0.65556
1	227940000	228160000	1	227940000	228160000	255,255,0	1.0899	0.057427	0.070881	0.80992	0.64463
1	211690000	211850000	1	211690000	211850000	255,255,0	0.90437	0.037334	0.090753	0.54688	0.67188
1	15220000	15400000	1	15220000	15400000	255,255,0	0.92874	0.042057	0.085581	0.5162	0.68596
1	41980000	42520000	1	41980000	42520000	255,255,0	1.1515	0.073237	0.05438	0.86145	0.6118
1	159200000	159730000	1	159200000	159730000	255,255,0	1.2998	0.064248	0.063293	0.87892	0.72344
1	43680000	43890000	1	43680000	43890000	255,255,0	1.2649	0.072293	0.055034	0.80909	0.79091
1	62610000	62890000	1	62610000	62890000	255,255,0	1.4141	0.058446	0.068699	0.83163	0.88265
1	110730000	110870000	1	110730000	110870000	255,255,0	0.84704	0.06894	0.058202	0.5625	0.54209
1	178270000	178500000	1	178270000	178500000	255,255,0	1.5474	0.05924	0.067249	0.84091	0.84091
